rto,meeting_date,committee,meeting_title,doc_type,title,posted_date,relevance_reason,topics,directness,source_names_hydro,evidence,initiatives,stakeholders,ai_summary,hydro_read_through,url
CAISO,2026-08-14,Market Seams,Comments due - Market Seams Workshop,comment,Comment Template - Market Seams Workshop,2026-07-31,"Market seams governance directly affects hydro's strategic options for market participation across RTO boundaries, interregional transmission access, and revenue recognition in linked markets — CAISO's seams workshop addresses RTO membership, interregional rules, and coordinated market design that shape where and how Western hydro assets can operate and be compensated.",seams-governance,unrated,,,,,"CAISO held a Market Seams Workshop on July 31, 2026, and is soliciting stakeholder comments on workshop content and suggestions for future seams-focused convenings via this template. The deadline for comments is August 14, 2026 (close of business). This is a procedural document establishing the comment vehicle; the substantive positions taken by hydro and storage operators will emerge in completed submissions. Hydro owners operating or contracting across Western market seams (WEIM, potential EDAM, or bilateral interconnects) should use this template to flag seams issues affecting revenue recognition, transmission access, state-of-charge rules, or ancillary-service compensation in multi-market operations.",,https://www.caiso.com/documents/comment-template-market-seams-workshop.docx
CAISO,2026-08-12,Transmission development forum,Comments due - Transmission Development Forum,agenda,"Agenda Overview - Transmission Development Forum - Jul 29, 2026",2026-07-28,MECHANISM: Transmission planning and interconnection deliverability directly affects hydro's strategic options — expansion of the Transmission Development Forum to provide unified status tracking of network upgrades and generator interconnection projects influences which hydro/PSH resources can physically deliver power and at what cost.,transmission; interconnection; load-growth,unrated,,,,Taha Marmoush (CAISO),"CAISO and CPUC have formalized the Transmission Development Forum to provide stakeholders unified status tracking of approved transmission projects and network upgrades triggered by generator interconnections (those with executed LGIAs). The forum will convene twice annually (next meeting January 27, 2027) and post standardized workbooks on transmission-project schedules. New workbook features include unique project identifiers (e.g., 2425-R-12 for Reliability projects in the 2024–2025 plan), standardized drop-down fields for delays and schedule changes, and assigned delay-resolver accountability. This centralized tracking affects hydro owners' ability to forecast transmission availability for energy and ancillary-service deliverability — especially PSH and run-of-river units dependent on specific network paths — and gives them visibility into network-upgrade timelines that constrain or enable their strategic interconnection and expansion options.",,https://www.caiso.com/documents/agenda-overview-transmission-development-forum-jul-29-2026.pdf
CAISO,2026-08-12,Transmission development forum,Comments due - Transmission Development Forum,presentation,"Presentation - Gridliance West - Transmission Development Forum - Jul 29, 2026",2026-07-27,Transmission planning and infrastructure upgrades directly affect hydro deliverability and interregional transfer capability—GLW/VEA area upgrades and the Beatty 230kV project alter transmission capacity and costs that determine whether hydropower can be profitably delivered to load centers.,transmission; load-growth,unrated,,,,,"Gridliance West (GLW) and VEA present updates on CAISO-approved transmission projects including GLW/VEA Area Upgrades (in-service June 2028), the Beatty 230kV Project (in-service May 2028), and tie-line Phasor Measurement Units (in-service September 2026). These projects expand transmission capacity in the southwestern portion of CAISO's footprint. For hydropower operators, transmission upgrades alter the economic viability of exports and the scarcity value of local generation; delivery cost and capability directly affect which hydro plants can profitably serve CAISO's high-value load centers. The presentation updates progress against the January 2026 forecast, with most projects holding their prior in-service timelines.",,https://www.caiso.com/documents/presentation-gridliance-west-transmission-development-forum-jul-29-2026.pdf
CAISO,2026-08-12,Transmission development forum,Comments due - Transmission Development Forum,presentation,"Presentation - Horizon West Transmission - Transmission Development Forum - Jul 29, 2026",2026-07-27,TRANSMISSION: Horizon West is a major CAISO TPP-approved transmission project affecting interregional transfer capability and hydro deliverability from the Southwest; in-service delays directly impact when Western hydro owners can export capacity and energy to California markets.,transmission; load-growth,unrated,,,,,"CAISO's Transmission Development Forum presented updates on Horizon West Transmission Project, a TPP-approved 500 kV and substation project approved in the 2022–2023 transmission plan. The North Gila–Imperial Valley 500 kV line and North of SONGS substation are both tracking to in-service dates of December 2031 and October 2032 respectively, with no change in the current schedule relative to the January 2026 TDF baseline. Horizon West is critical transmission infrastructure enabling interregional transfer and energy trade; hydro owners in Arizona, Nevada, and Utah rely on these paths to deliver peaking and seasonal energy to California. The presentation documents the project status for stakeholders monitoring transmission expansion and its effect on market access and scarcity pricing in the West.",,https://www.caiso.com/documents/presentation-horizon-west-transmission-transmission-development-forum-jul-29-2026.pdf
CAISO,2026-08-12,Transmission development forum,Comments due - Transmission Development Forum,presentation,"Presentation - LS Power - Transmission Development Forum - Jul 29, 2026",2026-07-27,"Transmission planning and expansion directly affects hydro deliverability and interregional transfer capability, which are strategic options for hydro owners marketing power across regional seams.",transmission; load-growth,unrated,,,,LS Power (LS Power),"LS Power presents construction and permitting status for eight major California transmission projects totaling ~330 miles of new and upgraded 230–500 kV lines and HVDC capacity, with most in-service dates between April 2028 and June 2028. Key projects include the SWIP-North 500 kV transmission addition (285 miles from Idaho Power's Midpoint to NV Energy's Robinson Summit, with 70% series compensation on a parallel 231-mile line), multiple 500/230 kV substations in the Bay Area (Collinsville, Manning, Northern Receiving Station), and the Metcalf–San Jose B HVDC project (320 kV, ~12 miles underground). These expansions will increase interregional transfer capability and reduce congestion on California's north–south transmission corridor, expanding the deliverability and economic attractiveness of generation (including hydropower from the Pacific Northwest and Intermountain region) into California markets. Hydro owners marketing into California or considering transmission-constrained reservoirs will benefit from reduced transmission congestion and improved scarcity pricing signals on those corridors; no comment deadlines or board votes are stated in this status update.",,https://www.caiso.com/documents/presentation-ls-power-transmission-development-forum-jul-29-2026.pdf
CAISO,2026-08-12,Transmission development forum,Comments due - Transmission Development Forum,presentation,"Presentation - PG&E - Transmission Development Forum - Jul 29, 2026",2026-07-29,"MECHANISM: Transmission planning delays and project rescoping affect hydro deliverability and interregional transfer capability, which directly impact revenue from long-distance exports and scarcity pricing in load-constrained areas — delays to transmission upgrades defer the relief of local constraints that raise nodal LMPs at hydro injection points.",transmission; interconnection; load-growth,unrated,,,,,"PG&E presents Q3-2026 status updates on nine Generator Interconnection Projects (GIP) and multiple Transmission Planning Process (TPP) projects within CAISO's footprint. Key deliverability impacts: several projects show delays of 3–6+ months (e.g., Vaca Dixon-Lakeville 230 kV Corridor pushed to 12/31/29, North Tower 115 kV Looping to 03/20/30), while others have been cancelled in the 26-26 transmission plan (Moraga-Sobrante, East Shore 230 kV, Metcalf). Improved/rescoped projects include Eagle Rock–Fulton–Silverado line (CAISO reduced east/west capacity requirement), and South Bay Reinforcement (Part G placed on hold). These delays and cancellations defer transmission relief in Northern California, sustaining local congestion that elevates nodal prices at hydro generation nodes — especially relevant to NHA members with deliverability constraints into Bay Area and Sacramento markets. No specific deadline or next action stated; this is a technical status briefing without formal comment period indicated.",,https://www.caiso.com/documents/presentation-pg-e-transmission-development-forum-jul-29-2026.pdf
CAISO,2026-08-11,Miscellaneous meetings,Resource Interconnection Standards Fair,comment,Comment Template - Annual Summer Available Transfer Capability (ATC) Assessment - 2026,,"MECHANISM: Annual Summer ATC Assessment directly affects hydro's transmission deliverability and interregional transfer capability — the ability to export hydro generation to load centers determines revenue and portfolio value, particularly for Northwest and California generators.",transmission; capacity-ra,unrated,,,,,"CAISO held an Annual Summer ATC (Available Transfer Capability) Assessment stakeholder meeting on March 31, 2026, and is soliciting written comments via this template by April 14, 2026 close of business. The document is a comment-submission template only; it does not state findings or proposals on ATC methodology, summer transmission constraints, or specific transfer-capability limits. However, the underlying assessment directly informs which transmission paths are available for hydro exports and at what congestion levels, affecting the deliverability and scarcity value of hydro generation across the CAISO footprint and interregional ties. Hydro owners with generation in the Northwest, Northern California, or elsewhere dependent on summer transmission paths to reach load should monitor the substantive April 31, 2026 meeting outcome and assess filing deadlines for formal comment.",,https://www.caiso.com/documents/comment-template-annual-summer-available-transfer-capability-atc-assessment-2026.docx
CAISO,2026-08-11,Miscellaneous meetings,Resource Interconnection Standards Fair,comment,"Comments - CAISO DMM - Annual Summer Available Transmission Capacity Assessment - Mar 31, 2026",,CAISO transmission planning and ATC methodology directly affects interregional wheeling and the Available Transmission Capacity available to hydropower exports from the Northwest (Malin intertie) into California — a core revenue and transmission-access issue for NHA members participating in CAISO markets and WEIM.,transmission; seams-governance,unrated,,,,Department of Market Monitoring (California Independent System Operator (CAISO)),"CAISO's Department of Market Monitoring comments on the 2026 Annual Summer ATC Assessment oppose retiring the Path 26 priority wheel-through (PWT) impact assessment, which evaluates how north-to-south high-priority wheeling reservations from Malin to Palo Verde affect internal CAISO transmission constraints. DMM argues that recent mild summers (2023–2025) are an insufficient basis for discontinuing the annual internal-constraint assessment, and that future conditions — including EDAM implementation and new transmission projects in Idaho and Nevada — may materially alter power flows and increase demand for wheel-through capacity, reinforcing the need for continued monitoring. The Path 26 assessment serves as a safeguard against oversubscription of CAISO transmission when wheeling-through transactions (which carry equal priority to CAISO load) could crowd out resource adequacy supplies during high-demand periods. For hydro owners exporting from the Northwest via the Malin intertie, this assessment directly informs how much wheel-through capacity remains available after CAISO load priority is satisfied — losing the assessment could leave external supply visibility and congestion risk unmanaged.",,https://www.caiso.com/documents/comments-caiso-dmm-annual-summer-available-transmission-capacity-assessment-mar-31-2026.pdf
CAISO,2026-08-11,Miscellaneous meetings,Resource Interconnection Standards Fair,comment,"Comments - CPUC - Annual Summer Available Transmission Capacity Assessment - Mar 31, 2026",,CPUC comments on CAISO's transmission capacity assessment touch transmission planning and interregional transfer capability — which affect hydro deliverability and the value of existing hydro exports — and flag EDAM power-flow impacts and Markets+ governance seams that NHA members use to route hydro revenue.,transmission; seams-governance; capacity-ra,unrated,,,,Jordan Miner (CPUC),"The CPUC's Energy Division submitted comments on CAISO's March 31, 2026 Annual Summer ATC (Available Transmission Capacity) Assessment, requesting expanded system-wide power-flow analysis beyond the current Path 26 focus. ED staff opposes retirement of the Transmission Service and Market Scheduling Priorities Path 26 assessment and cautions against relying on mild 2024–2025 conditions to justify reduced congestion analysis. The CPUC specifically requests EDAM-wide power flows, South-to-North and North-to-South flow impacts (including SunZia), comparative year-over-year analysis, and analysis of how power flows will change with WEIM departures to Markets+ and dual-market DAM competition. For Northwest and California hydro exporters, this analysis directly shapes the transmission paths available to move energy into California during summer scarcity and determines whether EDAM expansion will ease or tighten internal constraints that affect pricing and deliverability for existing hydro resources.",,https://www.caiso.com/documents/comments-cpuc-annual-summer-available-transmission-capacity-assessment-mar-31-2026.pdf
CAISO,2026-08-11,Miscellaneous meetings,Resource Interconnection Standards Fair,comment,"Comments - PG&E - Annual Summer Available Transmission Capacity Assessment - Mar 31, 2026",,PG&E's critique of CAISO's proposed removal of Path 26 transmission sensitivity analysis directly affects interregional wheel-through transaction deliverability and the redispatch costs hydro owners would face when ATC assumptions fail — a transmission-planning and market-power issue for large hydro exporters.,transmission; interconnection,unrated,,,,Adeline Lassource (Pacific Gas and Electric),"CAISO proposed retiring the Path 26 sensitivity analysis from its Annual Summer Available Transmission Capacity (ATC) assessment; PG&E opposes removal and argues the analysis should be retained and expanded. The Path 26 analysis is a safeguard designed to detect deliverability issues with high-priority wheel-through interregional transactions that the standard ATC process does not explicitly assess. PG&E contends that absence of recent congestion does not justify removal, that low wheel-through reservations may reflect constrained ATC rather than genuine capacity availability, and requests transparency on redispatch costs borne by CAISO when the unmonitored Path 26 constraint binds (citing six days in summer 2025 when flows exceeded 3,500 MW). Large hydro owners exporting to the Southwest and Pacific Northwest via interties depend on ATC availability and deliverability certainty; loss of Path 26 monitoring would increase redispatch cost exposure and reduce visibility into congestion that could strand available export capacity.",,https://www.caiso.com/documents/comments-pg-e-annual-summer-available-transmission-capacity-assessment-mar-31-2026.pdf
